Country Name,Country Code,Income Group,Finance_Investment,Technology_Innovation,Economic_Growth_Stability,Talent_Productivity
Afghanistan,AFG,Low income,0.2920801791282383,0.1258888131222018,0.34902965376326467,0.16512634247076174
Albania,ALB,Upper middle income,0.4655588811381008,0.5328531206142836,0.44770624522145946,0.32592297115553726
Algeria,DZA,Upper middle income,0.258612036030037,0.4529913591875208,0.5167991348529588,0.4248570366008484
American Samoa,ASM,High income,0.5683913959092327,0.6953314997816782,0.4242296754788176,0.6431057521013365
Andorra,AND,High income,0.5751940428432468,0.6729600722584155,0.4300940216441201,0.6342995916533665
Angola,AGO,Lower middle income,0.3447271915827237,0.12169815224379417,0.38142254665032754,0.37947928393423447
Antigua and Barbuda,ATG,High income,0.5109486407447853,0.555444999337126,0.4323955370976005,0.44005387398079776
Argentina,ARG,Upper middle income,0.33089134388989805,0.6442812981993357,0.42588632549001426,0.5667192936420719
Armenia,ARM,Upper middle income,0.4758695909461494,0.5199569378051236,0.45388912082356747,0.5804897421925668
Aruba,ABW,High income,0.5390426750928237,0.6975442315459073,0.43825981801239366,0.4561849860459297
Australia,AUS,High income,0.6306346118309122,0.818846567962741,0.43261997500589106,0.7128527713629669
Austria,AUT,High income,0.509038678006898,0.8119493839669525,0.42473805042426876,0.6716329625394115
Azerbaijan,AZE,Upper middle income,0.3211258514664737,0.526218793348695,0.44205213908891827,0.41983755692563307
"Bahamas, The",BHS,High income,0.530604266281769,0.729516600753912,0.44857131190240174,0.3897960445875359
Bahrain,BHR,High income,0.5392933050399681,0.5953508111804284,0.46358834215597433,0.43747383658070293
Bangladesh,BGD,Lower middle income,0.42642957951365695,0.3467661767710465,0.4959406053712322,0.28825265830230773
Barbados,BRB,High income,0.5176612444965188,0.6435655399831963,0.44344013344325006,0.5159831696423114
Belarus,BLR,Upper middle income,0.3735410618350428,0.7069407535677373,0.44384264181240873,0.49444537554197937
Belgium,BEL,High income,0.5328729689040396,0.859935545585964,0.43528297096426427,0.6369570932515348
Belize,BLZ,Upper middle income,0.4796128050398724,0.6028549619862331,0.43702595915497516,0.26464487916812407
Benin,BEN,Lower middle income,0.45315225441304147,0.15632164542589005,0.5212535361283686,0.33107988292005675
Bermuda,BMU,High income,0.5030034497192267,0.6795321748727793,0.37425238872652705,0.47059758437627863
Bhutan,BTN,Lower middle income,0.5019517024750627,0.41108031385096394,0.5789335457328771,0.25574653285733573
Bolivia,BOL,Lower middle income,0.4884244587745772,0.3936561231671136,0.3859028323655964,0.36275623573307103
Bosnia and Herzegovina,BIH,Upper middle income,0.49264114946800813,0.5750145941746644,0.43470873076048844,0.431981665989083
Botswana,BWA,Upper middle income,0.4220921564754483,0.3842507249657812,0.4465640122674877,0.30137480462411287
Brazil,BRA,Upper middle income,0.5147939684605977,0.6699033563038974,0.5161099602828354,0.5354114566852153
British Virgin Islands,VGB,High income,0.5683913959092327,0.7660643047749269,0.42813362140505873,0.5768953608583682
