Country Name,Country Code,broadband_subscriptions_is_outlier,capital_formation_is_outlier,credit_to_private_sector_is_outlier,fdi_inflows_is_outlier,gdp_growth_is_outlier,high_tech_exports_is_outlier,ict_imports_is_outlier,inflation_rate_is_outlier,internet_usage_rate_is_outlier,labor_productivity_is_outlier,market_capitalisation_is_outlier,rd_expenditure_is_outlier,real_interest_rate_is_outlier,secure_servers_density_is_outlier,stock_market_liquidity_is_outlier,tertiary_enrollment_is_outlier
Afghanistan,AFG,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Albania,ALB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Algeria,DZA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
American Samoa,ASM,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Andorra,AND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Angola,AGO,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Antigua and Barbuda,ATG,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Argentina,ARG,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Armenia,ARM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aruba,ABW,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Australia,AUS,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Austria,AUT,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Azerbaijan,AZE,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"Bahamas, The",BHS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bahrain,BHR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bangladesh,BGD,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Barbados,BRB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Belarus,BLR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Belgium,BEL,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Belize,BLZ,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Benin,BEN,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bermuda,BMU,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bhutan,BTN,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bolivia,BOL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bosnia and Herzegovina,BIH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Botswana,BWA,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Brazil,BRA,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
British Virgin Islands,VGB,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Brunei Darussalam,BRN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bulgaria,BGR,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Burkina Faso,BFA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burundi,BDI,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Cabo Verde,CPV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cambodia,KHM,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cameroon,CMR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Canada,CAN,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cayman Islands,CYM,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Central African Republic,CAF,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chad,TCD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Channel Islands,CHI,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Chile,CHL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
China,CHN,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
Colombia,COL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comoros,COM,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Congo, Dem. Rep.",COD,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"Congo, Rep.",COG,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Costa Rica,CRI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cote d'Ivoire,CIV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Croatia,HRV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cuba,CUB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Curacao,CUW,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cyprus,CYP,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Czechia,CZE,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Denmark,DNK,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Djibouti,DJI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dominica,DMA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Dominican Republic,DOM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ecuador,ECU,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Egypt, Arab Rep.",EGY,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
El Salvador,SLV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Equatorial Guinea,GNQ,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eritrea,ERI,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Estonia,EST,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Eswatini,SWZ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ethiopia,ETH,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
